eventID,hits,eDepTot_keV
0,4,1000
223,6,1000
224,0,0
1,7,1000
225,4,1000
226,6,1000
227,3,1000
228,4,1000
2,10,461.941
229,9,1000
3,4,1000
230,9,1000
4,5,1000
231,5,1000
5,7,1000
232,4,1000
6,4,1000
7,5,1000
233,7,988.148
234,4,748.16
8,8,1000
235,5,1000
9,8,1000
236,3,1000
10,0,0
237,2,1000
11,5,775.048
238,4,1000
12,5,1000
239,3,1000
240,5,1000
13,6,1000
241,3,1000
14,6,1000
15,6,1000
16,6,1000
242,23,695.578
17,3,1000
243,4,1000
244,5,1000
18,10,1000
245,6,1000
19,4,1000
20,5,1000
246,8,1000
247,4,1000
21,4,732.159
22,4,1000
248,7,1000
249,1,706.198
23,5,1000
250,6,1000
24,4,1000
251,7,1000
25,4,1000
26,4,1000
252,7,1000
27,5,1000
253,6,692.937
254,4,1000
28,2,770.363
29,0,0
255,4,1000
256,5,1000
30,6,1000
257,6,1000
31,4,1000
258,4,1000
32,5,1000
259,6,1000
33,6,1000
260,7,1000
34,5,1000
261,3,1000
35,4,1000
262,4,1000
36,3,1000
263,9,1000
37,4,1000
38,5,1000
264,7,1000
265,3,1000
39,7,1000
266,3,1000
40,1,48.9185
267,2,684.907
41,2,761.512
268,4,1000
42,2,781.948
269,4,1000
270,6,1000
43,9,1000
271,4,1000
44,5,1000
272,4,1000
45,5,1000
46,3,1000
273,6,1000
47,6,1000
274,6,1000
275,4,1000
48,8,1000
276,4,1000
49,5,1000
277,3,1000
278,6,1000
50,9,1000
279,9,1000
51,8,1000
52,3,1000
280,7,1000
53,6,1000
281,4,1000
282,5,1000
54,7,1000
283,3,1000
55,3,1000
284,5,1000
56,7,1000
285,2,205.334
57,6,1000
286,3,1000
287,4,1000
288,1,159.291
58,14,660.322
289,9,1000
59,7,1000
290,3,1000
60,7,1000
291,5,1000
61,7,1000
292,7,1000
62,6,1000
293,5,1000
63,5,1000
294,7,1000
64,6,1000
295,7,1000
65,5,1000
296,6,1000
66,4,1000
67,4,1000
297,6,1000
68,4,1000
298,5,1000
299,6,1000
69,9,1000
300,4,1000
70,4,1000
71,4,1000
301,6,1000
72,3,1000
302,8,1000
73,10,1000
303,8,1000
74,5,1000
304,4,1000
75,5,1000
305,4,1000
76,11,1000
306,13,685.525
77,5,1000
307,5,1000
78,1,167.614
308,7,1000
79,4,1000
80,3,1000
309,9,1000
81,5,1000
310,5,1000
82,4,1000
311,4,1000
83,3,1000
312,6,1000
84,4,1000
313,1,188.421
85,6,1000
314,4,600.103
86,3,1000
315,5,1000
87,5,1000
