eventID,hits,eDepTot_keV
15,48,68944.7
0,399,918229
1,88,85609.6
16,506,414687
17,430,611569
18,90,77498.4
2,495,1.13812e+06
3,79,75971
4,73,76197
5,58,71904.1
19,195,200353
20,99,89964.6
21,107,153284
22,67,72617.6
23,85,77566.8
6,968,457417
24,448,319420
25,79,74927.2
26,95,78167.7
27,62,74350.7
28,92,78591.8
29,88,73832.9
7,516,668915
8,69,73892.4
30,525,584495
31,71,78550.2
32,143,86432.9
33,52,69848.6
34,50,68901.3
35,74,73747.9
9,1136,934960
10,86,78555.9
36,818,1.44077e+06
37,142,210414
38,85,78042.2
11,831,480309
12,74,73768
13,68,72102.1
14,96,82009.2
45,63,75025.9
46,65,75148.5
39,568,816483
40,53,70523.5
47,604,517436
48,56,68747.3
49,85,81090.7
50,558,908033
41,684,868015
42,516,480338
51,802,574184
43,77,72655
52,66,71496.5
44,415,516144
53,816,440375
60,762,543752
54,531,500768
61,66,77008.7
55,56,73042.7
62,62,74976.7
56,137,84959.8
63,656,476714
64,78,77520.2
65,103,85185.3
66,62,72744.2
67,73,75908.7
68,83,79379.6
69,86,76885.9
57,1007,1.15442e+06
58,64,72876.2
70,844,902374
71,79,78571.1
59,523,750026
75,88,84318.3
76,734,665367
77,68,73683.4
78,76,79656.8
79,100,84109.5
80,69,76899.7
81,63,72120.4
72,1312,774831
73,59,68413
82,743,498451
74,612,994382
90,65,71268.5
91,94,80625.5
92,97,83512.5
93,68,78742.1
94,91,79177.5
95,71,78710.9
96,100,84307.5
97,77,79001.5
83,1075,1.01687e+06
98,832,605615
99,101,87589.7
100,69,73470.8
84,578,962868
101,70,75083.3
102,71,76025.9
103,102,83134.2
104,74,77352
105,68,78241.2
106,76,77081.2
107,119,85171.6
108,77,73916.2
109,87,78385.8
110,58,70767.8
111,67,72364.9
112,105,85969.5
113,84,76865.4
85,1010,1.14965e+06
114,66,73693.8
86,56,69997.8
87,89,77386.5
88,337,278803
89,61,70772.6
120,98,84115.5
115,981,778669
116,75,73957.9
117,89,79204.8
118,75,71708.7
121,412,392043
119,958,978520
135,70,74548.3
136,452,650998
122,2135,1.3302e+06
123,76,81079.7
124,79,80080.8
125,75,78240.6
126,64,72053.7
127,80,78690.5
137,525,560985
138,69,74027.8
139,65,75547.1
140,253,301696
128,554,822686
141,62,74200.6
142,176,197857
129,457,452367
143,512,459679
144,71,75312.9
145,85,80437.2
130,645,445400
131,86,84445.8
132,60,71473.9
133,52,68532.6
134,341,446584
146,1022,1.35972e+06
150,816,438836
147,97,80160
148,61,73842.8
149,57,73982.1
165,48,68692.5
151,157,136112
152,90,78336.4
153,113,86178.8
166,393,477336
167,96,83217.6
168,66,73959.2
169,95,82642.3
170,65,78060.8
171,56,69497.1
154,805,799363
155,367,243839
156,116,90561.4
157,98,87288.5
158,63,74123
159,72,73459.4
160,89,80242.1
172,1788,1.07008e+06
161,90,77970.1
173,93,83253.2
162,87,79950.9
174,54,70117.7
175,96,81034.1
176,59,71984.4
177,89,84065.5
178,676,487264
163,1568,1.43672e+06
164,513,712908
179,1523,1.30598e+06
195,56,71765
180,556,760107
181,96,80325.3
182,69,72297.8
196,388,578015
183,184,186484
184,88,80088.5
185,962,714353
197,913,745737
186,788,536009
187,1292,528642
188,88,81718.8
189,71,76311.9
190,78,76554.7
191,357,424407
192,61,70918.3
193,65,72552.1
194,137,98732.8
210,96,82739.7
198,3264,1.36246e+06
211,71,73978.4
199,91,80236.3
212,356,309814
213,93,84396.6
214,58,69331.4
215,54,69860.3
216,84,75998
217,87,78307.5
218,101,82241.5
219,78,76296.1
220,106,88793.2
221,105,79133.8
222,87,79787.2
223,68,79543.1
200,1477,1.28413e+06
224,81,79232.7
201,62,73439.5
225,67,76061.1
226,850,1.16596e+06
202,634,1.04738e+06
227,115,79494.6
203,673,974264
204,53,70276.2
205,62,72175.1
206,85,79952.1
207,75,76253.4
208,103,85017.5
228,877,1.00062e+06
229,202,372118
230,85,80799.4
231,71,75338.6
232,121,92115.3
209,1414,941617
240,64,75433.2
241,85,81580.7
233,1031,737197
234,468,524548
235,63,74040.8
242,861,1.13316e+06
243,69,76518.5
244,80,77495.6
236,991,851563
237,59,71208.9
238,64,74151.3
245,1465,982132
239,521,519856
246,68,74809.3
255,87,83580.5
256,695,780057
257,59,71671.4
247,985,562669
258,84,81747.5
248,67,77529.2
259,57,69438.8
260,249,419240
261,75,75981.4
262,90,77863.3
263,66,71382.4
249,861,486971
250,76,76423.2
264,316,440080
251,67,74111.8
265,88,79945.1
266,53,70338.6
252,845,521927
267,1538,948401
268,67,70817.7
269,80,81057.6
270,76,75465.6
253,729,1.10143e+06
254,77,78974.1
285,86,78356.5
271,1116,801764
272,70,74233.7
286,547,775867
273,807,448203
287,643,817115
288,67,75653.9
289,88,83950.4
290,595,1.00271e+06
291,87,79854.2
292,86,80411.2
293,86,80149.2
294,72,74352.8
295,86,78951.7
296,76,76544.3
274,1121,990720
275,82,77185.2
297,563,684027
298,119,92274.1
276,292,444841
277,66,75379.9
299,93,82387.6
278,109,83222.3
279,46,67798.7
300,346,270688
301,70,75390.3
280,570,504700
302,56,69380.7
281,54,71877.5
282,87,80222.8
283,1362,1.11318e+06
284,97,80806
315,100,82895.5
316,74,73686.1
317,53,68465.1
303,2003,955446
304,60,72068.2
318,87,77486.3
319,62,73942.5
305,83,74887.1
306,94,86561.8
307,98,85011.8
308,79,77522
309,49,70152.6
310,73,77090.4
320,603,976923
311,651,937048
321,1390,925020
322,66,71071.9
323,77,78304.4
312,1029,852629
313,73,78450.9
324,501,371666
325,78,78630.4
326,190,202198
327,77,74034.1
328,105,90371.8
314,1408,905626
330,82,77885.1
329,577,727202
345,103,83374.3
331,595,670604
332,116,104461
346,405,358630
333,366,518705
334,57,71512.2
335,350,469658
336,83,81148.2
347,1691,1.06069e+06
348,77,77394.9
349,79,77336.4
350,74,73311.3
