eventID,hits,eDepTot_keV
0,4,1000
223,6,1000
224,0,0
1,7,1000
225,4,1000
226,0,0
227,3,1000
228,4,1000
2,0,0
3,4,1000
229,9,1000
4,5,1000
230,9,1000
5,7,1000
231,5,1000
6,4,1000
232,4,1000
7,5,1000
233,7,988.148
8,8,1000
234,0,0
9,8,1000
10,1,189.896
235,5,1000
236,0,0
11,4,640.003
237,2,1000
12,5,1000
238,4,1000
13,6,1000
239,3,1000
14,6,1000
240,5,1000
15,6,1000
241,3,1000
16,6,1000
17,3,1000
18,10,1000
242,0,0
19,4,1000
20,5,1000
21,4,732.159
243,4,1000
22,4,1000
23,5,1000
244,5,1000
24,4,685.848
25,4,1000
26,4,1000
27,5,1000
28,0,0
245,22,985.655
29,0,0
30,6,1000
246,8,1000
31,4,1000
32,0,0
247,2,751.176
33,6,1000
34,5,1000
248,7,1000
35,4,1000
249,0,0
36,3,1000
250,6,1000
37,4,1000
38,5,1000
251,7,1000
39,0,0
40,1,48.9185
252,6,954.478
41,0,0
42,0,0
253,5,683.916
43,9,1000
44,5,1000
254,4,1000
45,5,1000
255,4,1000
46,3,1000
256,5,1000
47,6,1000
257,6,1000
48,8,1000
258,4,1000
49,5,1000
50,9,1000
259,6,1000
51,8,1000
52,3,1000
260,6,775.931
53,4,899.597
261,3,1000
54,2,358.871
262,4,1000
55,3,1000
56,7,1000
263,9,1000
57,0,0
264,7,1000
58,7,1000
265,3,1000
59,6,973.369
266,3,1000
267,3,684.907
60,0,0
268,4,1000
61,7,1000
269,4,1000
62,6,1000
270,6,1000
63,4,986.556
64,6,1000
271,4,1000
65,5,1000
272,4,1000
66,4,1000
67,4,1000
68,4,1000
273,6,1000
274,0,0
69,9,1000
70,3,917.682
275,4,1000
71,4,1000
276,4,1000
72,2,486.432
277,3,1000
73,10,1000
74,5,1000
278,6,1000
75,5,1000
279,9,1000
76,6,429.628
77,5,1000
280,7,1000
78,1,167.614
79,4,1000
281,4,1000
80,3,1000
282,5,1000
81,5,1000
283,0,0
82,3,762.584
83,0,0
284,5,1000
84,0,0
285,5,1000
85,16,671.826
286,3,1000
86,3,1000
287,4,1000
87,5,1000
288,1,159.291
88,3,1000
89,2,512.181
90,5,1000
289,9,1000
91,1,89.0676
290,0,0
92,4,1000
93,5,1000
291,5,1000
94,6,1000
292,7,1000
95,4,1000
96,4,1000
293,5,1000
97,6,1000
98,6,1000
294,7,1000
99,5,1000
295,7,1000
100,7,1000
296,6,1000
101,7,1000
297,6,1000
102,9,1000
298,5,1000
103,5,1000
299,6,1000
104,7,1000
300,4,1000
