eventID,hits,eDepTot_keV
0,0,0
223,4,745.601
224,0,0
1,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
2,0,0
230,7,397.677
3,0,0
231,5,1000
4,5,1000
232,4,1000
5,7,1000
6,0,0
233,7,988.148
7,0,0
234,0,0
235,5,1000
8,8,1000
236,0,0
237,2,1000
9,7,978.423
10,0,0
238,4,1000
11,0,0
239,0,0
240,0,0
12,5,1000
241,3,1000
13,0,0
14,0,0
15,0,0
242,0,0
16,0,0
17,0,0
243,0,0
18,6,663.491
244,5,1000
19,0,0
245,0,0
20,5,1000
21,0,0
246,8,1000
22,4,1000
247,0,0
23,5,1000
24,0,0
248,7,1000
25,4,1000
249,0,0
26,4,1000
250,6,1000
27,5,1000
28,0,0
29,0,0
251,7,1000
30,0,0
252,4,954.478
31,4,1000
32,0,0
253,5,683.916
33,6,1000
254,4,1000
34,3,660.202
255,3,572.828
35,4,1000
36,0,0
256,0,0
37,0,0
257,6,1000
38,5,1000
258,4,1000
39,0,0
40,1,48.9185
259,6,1000
260,0,0
41,0,0
261,0,0
42,0,0
262,4,1000
43,9,1000
263,0,0
44,0,0
264,5,541.628
45,5,1000
265,3,1000
266,3,1000
46,3,1000
267,0,0
268,4,1000
47,0,0
269,4,1000
270,6,1000
48,8,1000
271,0,0
49,0,0
272,4,1000
50,0,0
273,0,0
51,0,0
274,0,0
52,2,642.336
275,4,1000
276,0,0
53,4,899.597
54,0,0
277,3,1000
55,0,0
278,6,1000
56,1,167.727
57,0,0
279,9,1000
58,0,0
280,0,0
59,4,745.661
281,4,1000
282,5,1000
283,0,0
60,0,0
284,5,1000
61,7,1000
285,2,205.334
62,6,1000
286,0,0
287,0,0
63,4,986.556
288,1,159.291
64,6,1000
289,9,1000
65,5,1000
290,0,0
66,3,813.338
291,5,1000
67,0,0
292,0,0
68,4,1000
293,5,1000
69,0,0
294,7,1000
70,0,0
295,7,1000
71,0,0
72,0,0
296,6,1000
297,5,865.237
73,10,1000
298,5,1000
74,3,298.667
299,6,1000
75,5,1000
300,0,0
76,0,0
77,0,0
301,0,0
78,1,167.614
302,4,678.015
79,0,0
80,0,0
303,7,685.288
81,1,256.901
304,4,1000
82,0,0
83,0,0
305,4,1000
84,0,0
85,0,0
86,0,0
306,0,0
87,0,0
307,0,0
88,0,0
89,1,305.442
308,4,766.184
309,0,0
90,5,1000
91,1,89.0676
310,5,1000
311,0,0
92,4,1000
312,0,0
93,3,789.05
313,1,188.421
314,0,0
94,5,774.708
95,0,0
315,4,868.097
96,0,0
316,2,529.19
97,6,1000
317,4,1000
98,0,0
318,2,416.809
99,0,0
319,6,1000
100,7,1000
320,0,0
101,0,0
321,0,0
102,9,1000
103,0,0
322,6,1000
323,0,0
324,1,409.578
104,7,1000
325,6,1000
105,4,1000
326,0,0
106,0,0
327,4,1000
107,5,1000
108,3,1000
328,5,838.423
109,4,579.423
329,0,0
110,4,1000
330,5,1000
331,0,0
111,4,1000
332,4,820.918
112,5,1000
113,3,1000
333,0,0
114,4,719.44
334,6,750.699
115,0,0
335,0,0
116,7,1000
336,4,1000
337,0,0
117,4,1000
338,6,1000
118,4,1000
339,6,746.909
340,3,1000
119,2,428.243
341,4,537.08
120,4,1000
342,0,0
343,0,0
121,3,749.992
344,0,0
122,0,0
345,3,1000
123,0,0
346,4,946.198
124,6,1000
125,4,807.185
347,8,1000
348,4,1000
126,3,453.239
127,0,0
128,0,0
349,6,772.827
129,0,0
350,6,1000
130,0,0
131,0,0
351,0,0
352,6,994.081
132,4,711.129
133,0,0
353,2,750.756
134,0,0
354,0,0
135,4,1000
136,0,0
355,6,1000
137,0,0
138,4,316.102
356,4,1000
139,0,0
357,7,1000
140,0,0
358,0,0
141,7,1000
142,0,0
359,5,1000
143,0,0
144,6,504.409
360,5,1000
145,0,0
361,0,0
146,0,0
147,0,0
362,6,1000
148,0,0
363,2,175.82
149,3,466.994
150,0,0
151,0,0
364,5,1000
152,7,1000
365,7,850.492
366,0,0
153,7,1000
154,4,847.051
367,4,1000
155,0,0
156,0,0
368,8,1000
369,0,0
157,4,654.95
370,0,0
158,4,1000
371,5,1000
159,4,1000
372,0,0
160,3,781.575
373,4,637.119
161,4,1000
374,0,0
162,0,0
163,0,0
375,4,1000
164,0,0
376,4,1000
165,5,1000
377,2,738.892
166,0,0
167,6,1000
168,0,0
169,4,1000
378,14,344.227
170,4,1000
379,3,1000
380,1,39.29
171,5,1000
172,0,0
381,0,0
173,0,0
382,0,0
383,0,0
174,7,1000
175,3,510.909
384,5,779.441
385,0,0
176,4,893.927
386,6,1000
177,5,1000
178,0,0
387,3,437.879
388,0,0
179,0,0
389,0,0
180,0,0
390,0,0
181,0,0
391,0,0
182,2,705.338
183,0,0
392,8,1000
184,0,0
393,7,1000
185,0,0
186,0,0
394,0,0
187,0,0
395,4,819.969
188,2,456.428
189,1,10.2398
396,7,1000
397,0,0
190,6,1000
398,4,1000
191,3,642.872
399,4,1000
192,4,1000
400,0,0
193,4,1000
401,7,1000
402,0,0
194,7,1000
403,4,1000
404,0,0
195,5,1000
405,0,0
196,4,687.819
406,8,1000
197,0,0
407,4,1000
198,0,0
199,0,0
408,3,1000
409,0,0
200,5,685.248
410,2,499.386
201,0,0
411,0,0
202,4,509.647
412,5,1000
203,0,0
413,5,1000
204,4,1000
205,1,47.8084
414,5,1000
415,4,1000
206,7,1000
207,7,904.948
416,15,1000
208,5,1000
417,5,1000
209,0,0
418,0,0
210,5,1000
419,4,566.05
211,4,1000
420,2,413.986
421,6,1000
422,0,0
212,0,0
423,3,793.216
213,7,719.516
424,0,0
214,0,0
425,0,0
426,2,728.637
215,6,617.808
216,1,383.234
427,5,782.773
217,0,0
218,0,0
428,6,930.739
219,5,1000
429,7,1000
220,4,1000
221,1,49.5272
430,3,618.911
222,0,0
431,4,1000
446,4,1000
432,4,1000
447,0,0
433,5,1000
448,7,1000
434,0,0
449,4,1000
435,3,1000
450,7,1000
436,0,0
451,5,1000
437,3,689.502
452,1,181.7
453,6,1000
438,5,1000
439,0,0
454,0,0
455,0,0
440,7,1000
456,3,1000
457,0,0
441,6,1000
458,0,0
442,0,0
459,8,511.763
443,4,1000
460,0,0
444,0,0
461,7,1000
445,0,0
462,0,0
669,0,0
463,0,0
464,0,0
670,5,1000
465,5,1000
671,5,790.732
466,0,0
672,1,245.751
467,3,1000
673,0,0
468,6,1000
674,7,1000
469,0,0
470,0,0
675,3,662.636
471,1,442.692
676,5,1000
472,6,1000
677,0,0
473,3,362.029
678,0,0
474,0,0
679,7,1000
475,0,0
476,0,0
680,3,1000
681,0,0
477,4,1000
682,3,830.374
478,0,0
683,4,1000
479,7,1000
684,5,682.001
480,0,0
685,0,0
481,0,0
482,0,0
686,4,1000
483,0,0
484,0,0
687,0,0
485,4,1000
486,0,0
688,5,1000
487,0,0
488,0,0
689,2,742.889
690,0,0
489,4,1000
691,5,1000
490,6,778.376
692,0,0
693,0,0
491,0,0
694,6,1000
492,0,0
493,0,0
695,4,763.57
696,1,32.3204
697,0,0
494,8,1000
698,0,0
699,0,0
495,5,924.063
700,0,0
496,0,0
701,0,0
497,0,0
702,3,511.275
498,4,1000
703,6,1000
499,0,0
704,0,0
500,5,941.345
501,0,0
705,6,847.109
706,0,0
502,5,1000
707,6,1000
503,0,0
708,0,0
504,5,1000
709,5,814.57
505,1,183.037
710,2,781.349
506,3,1000
507,0,0
711,0,0
508,4,1000
712,4,653.19
713,0,0
509,5,1000
714,4,1000
510,3,296.795
715,5,792
511,0,0
716,0,0
512,0,0
513,5,1000
717,8,1000
718,2,759.217
514,4,1000
719,0,0
515,4,1000
720,5,1000
516,0,0
721,3,383.664
722,0,0
517,3,1000
723,6,709.578
518,0,0
519,0,0
724,4,1000
725,0,0
520,4,1000
726,12,1000
521,6,1000
522,5,1000
727,8,786.226
523,0,0
728,2,280.912
729,1,766.292
524,8,1000
730,0,0
525,0,0
731,0,0
732,0,0
526,5,944.888
733,0,0
734,0,0
527,4,1000
528,0,0
735,8,1000
529,0,0
736,0,0
530,1,271.784
737,4,767.493
531,4,1000
738,0,0
739,2,167.387
532,7,761.621
740,0,0
533,6,1000
741,0,0
534,8,1000
742,7,1000
535,6,977.154
743,4,1000
536,0,0
537,0,0
744,9,1000
538,2,117.709
745,8,997.945
539,7,517.107
540,4,991.692
746,7,1000
747,8,1000
541,7,1000
748,2,217.025
542,7,1000
749,5,583.544
543,0,0
544,0,0
750,5,1000
545,3,1000
751,1,98.6551
752,0,0
546,6,807.026
753,0,0
547,0,0
754,0,0
755,0,0
756,0,0
548,6,1000
549,0,0
757,6,932.708
550,0,0
551,0,0
758,7,918.583
759,1,240.55
552,4,1000
760,6,1000
553,4,1000
761,7,1000
554,4,1000
762,0,0
555,0,0
763,8,1000
556,8,1000
764,4,619.697
557,5,759.457
765,7,1000
558,1,79.3921
766,4,1000
559,4,1000
767,4,1000
560,4,750.742
768,1,149.257
769,0,0
561,4,1000
770,0,0
562,0,0
563,4,748.511
771,6,795.808
564,0,0
772,1,364.62
565,0,0
566,0,0
773,4,923.702
567,0,0
774,4,1000
775,0,0
568,0,0
776,0,0
569,4,1000
777,5,795.031
570,1,66.4423
778,3,1000
779,3,1000
571,7,1000
572,0,0
780,4,1000
573,0,0
781,1,124.833
574,3,1000
782,0,0
783,0,0
575,4,763.553
784,8,1000
576,6,1000
785,0,0
577,0,0
786,0,0
787,0,0
788,5,793.504
578,11,1000
789,0,0
579,0,0
580,0,0
790,4,543.706
791,4,919.966
581,9,1000
792,4,777.362
793,0,0
582,10,970.499
794,0,0
795,0,0
583,5,1000
796,5,1000
797,1,42.1254
584,9,1000
585,0,0
798,7,1000
586,1,711.085
799,4,1000
587,4,1000
800,0,0
588,7,1000
801,7,890.317
589,7,1000
802,4,1000
590,5,614.802
803,0,0
591,0,0
804,4,1000
805,0,0
592,5,1000
593,3,667.423
806,5,1000
807,1,102.33
594,5,1000
808,4,1000
595,4,557.266
809,3,477.221
596,4,939.971
810,4,1000
597,5,1000
811,5,1000
598,5,1000
812,4,1000
813,0,0
599,7,972.916
814,1,336.282
815,0,0
600,6,724.569
816,7,664.597
601,0,0
817,5,1000
602,3,784.732
818,0,0
603,0,0
604,0,0
819,6,1000
820,0,0
605,6,1000
606,0,0
821,0,0
607,9,741.459
822,5,994.903
608,0,0
609,0,0
823,3,799.517
610,9,1000
824,4,1000
611,0,0
825,0,0
612,4,791.916
613,0,0
826,5,1000
827,0,0
614,5,1000
615,0,0
616,0,0
828,3,746.2
829,0,0
617,7,1000
618,0,0
830,0,0
619,0,0
620,0,0
831,4,1000
621,2,205.46
832,0,0
622,0,0
833,4,1000
834,0,0
623,4,1000
835,5,920.785
624,5,990.991
836,0,0
625,4,839.351
837,0,0
626,6,976.103
838,6,1000
839,0,0
627,9,1000
840,4,1000
628,0,0
841,3,642.453
629,0,0
842,0,0
630,0,0
631,6,817.099
843,4,1000
844,0,0
632,4,1000
633,0,0
845,3,518.784
634,0,0
846,5,1000
635,1,285.48
847,6,1000
636,6,1000
848,0,0
849,0,0
637,2,510.953
638,1,10.9067
850,4,847.427
639,0,0
851,0,0
640,0,0
641,5,950.205
852,5,1000
642,0,0
853,0,0
643,0,0
854,0,0
644,3,1000
855,0,0
645,0,0
856,4,1000
646,3,1000
857,1,338.443
647,4,1000
648,0,0
858,3,16.6155
859,4,1000
649,5,362.075
860,0,0
650,0,0
861,6,1000
651,3,693.749
862,1,237.271
652,3,595.648
653,2,374.995
863,7,912.844
654,0,0
864,0,0
655,6,1000
865,3,835.018
656,0,0
866,6,1000
657,6,1000
867,4,1000
658,7,1000
868,4,1000
659,0,0
869,3,1000
660,0,0
870,5,1000
871,3,1000
661,10,1000
662,5,829.83
872,6,1000
873,1,114.623
663,4,609.536
874,3,1000
875,0,0
664,3,489.659
665,3,1000
666,0,0
667,5,991.618
876,24,1000
668,4,911.758
877,8,860.886
892,3,649.444
878,5,762.773
893,4,1000
879,4,493.557
894,3,930.748
880,4,1000
895,5,1000
881,0,0
882,0,0
896,0,0
897,2,90.0881
883,5,1000
898,5,1000
884,5,1000
899,6,1000
885,6,1000
900,5,1000
886,6,1000
901,4,662.818
902,0,0
887,7,1000
888,0,0
903,4,1000
889,0,0
890,0,0
904,7,1000
891,0,0
905,0,0
1115,0,0
906,4,1000
1116,6,1000
907,3,1000
1117,4,1000
908,4,1000
1118,0,0
909,4,1000
1119,0,0
910,1,134.731
1120,4,1000
911,0,0
1121,0,0
912,0,0
1122,0,0
913,0,0
1123,1,570.05
914,5,1000
915,0,0
1124,6,1000
916,1,403.787
1125,0,0
917,0,0
1126,5,1000
918,0,0
919,4,1000
1127,6,745.025
920,0,0
1128,4,1000
921,0,0
922,3,844.485
1129,5,1000
923,0,0
924,0,0
1130,0,0
925,0,0
926,0,0
1131,4,405.409
927,0,0
1132,1,16.4265
928,0,0
929,0,0
1133,5,1000
930,0,0
1134,0,0
931,4,1000
1135,4,1000
932,0,0
1136,0,0
933,0,0
934,0,0
1137,4,1000
1138,4,1000
935,5,343.462
936,5,1000
1139,7,638.594
937,3,466.932
