eventID,hits,eDepTot_keV
0,9,1205.59
223,10,1884.8
1,10,736.929
224,13,1916.82
225,3,133.824
226,11,536.519
2,30,1924.8
227,15,1942.4
3,25,1937.37
228,16,1906.08
4,13,1231.74
229,7,370.038
5,9,1932.39
230,12,1932.85
231,11,1929.69
6,32,1820.23
232,13,1933.52
7,15,761.348
8,9,1944.44
233,19,721.46
234,14,1943.82
9,21,1804.15
235,8,407.03
10,7,498.727
236,13,1135.58
237,10,1951.44
11,20,1937.62
238,15,1425.15
12,6,367.999
239,23,1945.09
13,24,1930.51
240,15,1938.35
241,9,1953.5
14,22,1611.45
242,19,1489.17
15,11,1211.38
243,18,1232.96
16,11,879.555
244,8,742.385
17,16,1946.2
245,14,1901.34
18,21,1680.67
19,8,458.25
246,11,1669.76
20,12,1939.91
21,11,1435
247,20,1906.48
22,21,1939.62
248,12,1940.97
23,13,1923.76
249,16,1678.19
24,19,1920.42
25,10,1936.73
250,11,1927.57
251,9,1933.82
26,13,1933.55
252,14,1883.59
27,11,786
28,0,0
253,18,1940.57
29,10,1932.99
30,8,571.825
254,20,1314.69
31,11,1932.25
255,25,1927.44
32,12,1940.61
33,13,1391.7
256,11,679.116
34,15,1946.6
35,12,1935.87
257,9,1897.7
36,12,1306.48
258,10,1938.09
37,11,736.35
38,13,1904.29
259,6,316.497
39,12,1945.56
40,14,1942.33
260,15,1916.05
41,15,1168.82
261,10,1938.27
42,12,1938.07
43,5,276.376
262,10,1934.49
44,10,1927.92
263,13,1914.51
45,9,1941.36
264,12,1935.14
46,25,1939.27
265,11,1938.74
266,12,977.441
47,19,1471.63
267,5,269.937
48,19,1895.41
268,13,1041.18
49,17,1451.59
50,19,1944.66
51,13,1942.92
269,40,1633
52,10,1254.59
270,9,581.038
53,12,397.526
271,12,1925.5
272,11,1816.18
54,17,1937.54
273,15,1940.59
55,14,1944.46
56,11,1939.58
274,20,1924.19
57,11,1944.87
58,10,1897.88
275,4,254.633
59,10,1931.03
60,9,1941.6
276,11,1918.09
61,9,1941.21
277,9,1936.07
278,7,390.53
62,12,994.017
63,17,1941.82
279,13,769.315
64,14,1272.83
280,13,1938.94
281,4,369.493
65,14,1938.33
